c,a
그게 문제가 됩니까?,법으로 처벌 당하실 수 있어요.
,
안녕하세요. 궁금한 것이 있어서 연락드렸는데요백신 개발은 언제쯤 완료되나요?,어떤 백신을 말씀하시는 건가요?
,
COV-19이요.,백신 개발은 정해진 날짜를 알 수 없습니다.
,
예,"감사의 인사를 올리며, 질병관리청 OOO이었어요."
,
안녕하세요. 질병관리청이죠? 확진자 는 몇 명으로 통계됩니까?,금일 하루 79명 으로 나타나고 있습니다.
,
코로나 감염병감염경로는 어떻게 되나요?,비말로 감염경로가 생겨납니다.
,
"그렇게 전파 된다면, 감염 차단을 위한 방법에는 어떤 것이 있나요?",대인과의 접촉을 최소화 하고 있나요?
,
"예, 그러고 있습니다.",지금처럼만 하신다면 괜찮아요.
,
115번확진자의 이름이 무엇인지 알려주실 수 있나요?,개인정보는 비공개입니다.
,
왜 그렇나요?,개인정보 보호때문에 공개할 수 없어요.
,
그게 그렇게 문제가 있나요?,법으로 처벌 받으실 수 있어요.
,
안녕하십니까? 문의사항이 있어서 연락드렸습니다.백신이 언제쯤 세상을 볼 수 있을까요?,무슨 감염병의 백신을 말씀하시는 겁니까?
,
코로나19의 백신입니다.,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
,
예 알겠습니다.,"예, 질병관리청 OOO이었습니다."
,
안녕하세요. 질병관리청이죠? 치료중인자 는 몇 명으로 파악되고 있습니까?,금일 하루 79명 으로 확인되요.
,
코로나 감염병감염은 무엇으로 진행 되나요?,콧물이 감염의 경로입니다.
,
"그럼, 감염을 차단할 방법은 어떤 것이 있습니까?",다수가 모이는 장소를 피하고 있으십니까?
,
"예, 그러고 있습니다.",지금처럼만 하신다면 괜찮습니다.
,
115번사망자의 존명이 무엇입니까?,개인정보는 비공개입니다.
,
왜 그런가요?,개인 보호때문에 그래요.
,
문제가 크게 발생합니까?,관련법으로 처벌 받으실 수 있습니다.
,
안녕하세요. 궁금한 것이 있어서 연락드렸는데요백신은 언제 쯤 나옵니까?,무슨 감염병의 백신을 말씀하시는 겁니까?
,
코로나의 백신입니다.,"아직, 정해진 기한이 없어요."
,
네 알겠습니다.,"네, 질병관리청 OOO이었어요."
,
안녕하세요. 완치자 는 몇 명으로 확인됩니까?,오늘은 79명 이에요.
,
코로나19감염은 무엇으로 진행 되나요?,침로 감염경로가 생겨나요.
,
"그렇게 감염 된다면, 감염을 어떻게 차단하나요?",다수가 모이는 장소를 피하고 있으십니까?
,
"예, 그렇게 하고 있어요.",지금처럼만 하신다면 됩니다.
,
115번감염자의 생년월일이 무엇인가요?,개인정보는 비공개입니다.
,
왜 안되나요?,개인정보 보호법 때문에요.
,
그렇게 문제가 있습니까?,법으로 처벌 받으실 수 있습니다.
,
여보세요백신은 언제 쯤 나오나요?,어떤 감염병의 백신을 말씀하시는 겁니까?
,
코로나19 감염병 입니다.,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
,
네,"감사의 인사를 올리며, 질병관리청 상담원 OOO이었습니다."
,
반갑습니다. 확진자 는 몇 명입니까?,오늘은 79명 으로 통계되요.
,
코로나감염은 어떻게 진행되나요?,비말 또는 채액로 감염경로가 생겨납니다.
,
"그렇게 전파 된다면, 감염 차단을 위한 방법에는 어떤 것이 있습니까?",다수가 모이는 장소를 피하고 있으십니까?
,
"네, 그렇게 하고 있습니다.",지금처럼만 하신다면 됩니다.
,
115번확진자의 이름이 어떻게 되나요?,개인정보는 알려드릴 수가 없습니다.
,
뭐때문에 그렇습니까?,개인정보 보호법 문제가 발생하기 때문에요.
,
그게 그렇게 문제가 됩니까?,예
,
안녕하세요백신은 언제 쯤 나옵니까?,어떤 병의 백신을 말씀하시는 건가요?
,
코로나19 감염병의 백신입니다.,백신 개발은 날짜를 정할 수 없어요.
,
예,"네, 질병관리청 OOO이었어요."
,
반갑습니다. 치료중인자 는 몇 명으로 확인되나요?,오늘은 79명 으로 통계되요.
,
COV-19감염경로가 어떻게 됩니까?,대인접촉이 감염의 경로입니다.
,
"그럼, 감염 차단을 위한 방법에는 어떤 것이 있나요?",마스크를 잘 쓰고 다니십니까?
,
"예, 그렇게 하고 있어요.",위와 같은 사항을 지키고 계신다면 괜찮아요.
,
115번확진자의 이름이 무엇인지 알려주실 수 있나요?,개인정보는 비공개입니다.
,
왜인가요?,개인정보 보호법 때문에 공개할 수 없어요.
,
그게 문제가 됩니까?,법으로 처벌 받으실 수 있어요.
,
여보세요백신 언제 나오나요?,무슨 병의 백신을 말씀하시는 건가요?
,
코로나19 입니다.,백신 개발은 날짜를 정할 수 없어요.
,
그렇군요.,고맙습니다. 질병관리청 상담원 OOO이에요.
,
여보세요. 완치자 는 몇 명으로 파악되나요?,금일 하루 79명 으로 나타나고 있습니다.
,
코로나 감염병감염은 무엇으로 진행 되나요?,침로 감염이 전파되요.
,
"그렇게 감염 된다면, 이를 어떻게 차단합니까?",다수가 모이는 장소는 피하시나요?
,
예,지금처럼만 하신다면 되요.
,
115번사망자의 존명이 무엇입니까?,개인정보는 비공개 사항입니다.
,
왜 그런가요?,개인정보 보호때문에 그래요.
,
문제가 되나요?,예 그렇습니다.
,
안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신 개발은 언제 되나요?,어떤 감염병의 백신을 말씀하시는 거에요?
,
코로나 감염병 백신이요,"아직, 정해진 것은 없어요."
,
네 알겠어요.,"네, 질병관리청 OOO이었습니다."
,
문의하상이 있어서 연락드렸습니다. 검사자 는 몇 명인가요?,금일 하루 79명 이에요.
,
코로나19감염은 어느 경로로 됩니까?,입 분비물이 감염경로 입니다.
,
"그렇다면, 감염을 어떻게 막나요?",코 또는 입을 잘 막으시나요?
,
"예, 그러고 있어요.",위와 같은 사항을 지키고 계신다면 괜찮아요.
,
115번감염자의 존명이 어떻게 되요?,개인정보는 알려드릴 수가 없습니다.
,
왜죠?,개인정보 보호법 문제 때문에요.
,
그게 문제가 됩니까?,예 그렇습니다.
,
안녕하세요백신이 언제쯤 볼 수 있겠습니까?,어떤 백신을 말씀하시는 건가요?
,
코로나 감염병 백신입니다.,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
,
예 알겠습니다.,"예, 질병관리청 OOO이었습니다."
,
여보세요. 치료중인자 는 몇 명으로 파악되나요?,금일 하루 79명 으로 확인되요.
,
코로나십구감염은 어느 경로로 됩니까?,비말로 감염이 전파되요.
,
"그렇다면, 이를 어떻게 차단합니까?",대인과의 접촉을 최소화 하고 다니십니까?
,
"예, 그러고 있어요.",지금처럼만 하신다면 괜찮아요.
,
115번확진자의 생년월일이 어떻게 됩니까?,개인정보는 알려드릴 수가 없습니다.
,
왜그렇죠?,개인정보 보호법 문제가 발생하기 때문입니다.
,
문제가 크게 발생합니까?,법으로 처벌 받으실 수 있습니다.
,
안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신 개발은 언제 되나요?,어떤 병이 백신을 말씀하시는 겁니까?
,
코로나 감염병이요.,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없어요.
,
예 알겠습니다.,이상 질병관리청 상담원 OOO이었습니다.
,
안녕하세요. 질병관리청이죠? 사망자 는 몇 명으로 통계됩니까?,오늘 하루 79명 으로 나타나고 있어요.
,
코로나19 감염병감염은 어떻게 진행됩니까?,채액이 감염의 경로입니다.
,
"그럼, 감염을 어떻게 막습니까?",대인과의 접촉을 최소화 하고 있나요?
,
"예, 그러고 있어요.",지금처럼만 하신다면 문제 없어요.
,
115번확진자의 성함이 무엇인지 알려주실 수 있겠습니까?,개인정보는 공개할 수 없습니다.
,
무슨 이유에서 그렇습니까?,개인정보 보호문제 때문 입니다.
,
문제가 됩니까?,관련법으로 처벌 받으실 수 있습니다.
,
안녕하세요. 궁금한 것이 있어서 연락드렸는데요백신은 언제 쯤 나오나요?,어떤 백신을 말씀하시는 겁니까?
,
코로나이요.,"아직, 정해진 것은 없어요."
,
예 알겠어요.,"예, 질병관리청 OOO이었어요."
,
안녕하세요. 질병관리청이죠? 완치자 는 몇 명으로 파악되나요?,오늘 하루 79명 으로 나타나고 있습니다.
,
코로나십구감염경로는 어떻게 됩니까?,비말로 감염됩니다.
,
"그렇게 된다면, 감염을 어떻게 차단하나요?",코 또는 입을 잘 막으시나요?
,
"네, 그러고 있어요.",지금처럼만 하신다면 문제 없습니다.
,
115번확진자의 존명이 무엇인지 알려주실 수 있겠습니까?,개인정보는 비공개입니다.
,
왜 그렇나요?,개인정보 보호문제가 발생하기 때문에요.
,
그게 문제인가요?,네
,
여보세요백신 개발은 언제 되나요?,어떤 백신을 말씀하시는 건가요?
,
코로나십구 입니다.,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
,
예 알겠습니다.,"감사의 인사를 올리며, 질병관리청 상담원 OOO이었습니다."
,
안녕하세요. 사망자 는 몇 명입니까?,금일은79명 으로 나타나고 있습니다.
,
COV-19감염은 어떤 경로로 되나요?,대인접촉이 감염의 경로입니다.
,
"그렇게 된다면, 감염을 차단할 방법은 어떤 것이 있습니까?",대인과의 접촉을 최소화 하고 다니십니까?
,
"예, 그렇게 하고 있습니다.",지금처럼만 하신다면 되요.
,
115번감염자의 생년월일이 무엇인가요?,개인정보는 공개할 수 없습니다.
,
왜인가요?,개인정보 보호때문에 그래요.
,
문제가 됩니까?,관련법으로 처벌 받으실 수 있습니다.
,
여보세요백신 언제 쯤 볼 수 있을까요?,어떤 감염병의 백신을 말씀하시는 겁니까?
,
코로나19 입니다.,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없어요.
,
그렇군요.,이상 상담원 OOO이었습니다.
,
안녕하세요. 질병관리청이죠? 확진자 는 몇 명으로 통계됩니까?,오늘은 79명 으로 나타나고 있어요.
,
코로나19감염은 어느 경로로 되나요?,채액로 감염되요.
,
"그렇게 전파 된다면, 감염 차단을 위한 방법에는 어떤 것이 있나요?",호흡기를 잘 막고 다니나요?
,
"예, 그렇게 하고 있어요.",지금처럼만 하신다면 되요.
,
115번사망자의 성함이 무엇인지 알려주실 수 있나요?,개인정보는 알려드릴 수 없습니다.
,
왜그렇죠?,개인정보 보호법 때문에 공개할 수 없습니다.
,
그게 문제됩니까?,법으로 처벌 당하실 수 있어요.
,
안녕하십니까?백신 언제 나오나요?,무슨 감염병의 백신을 말씀하시는 겁니까?
,
코로나십구의 백신이요.,"아직, 정해진 것은 없어요."
,
네 알겠습니다.,고맙습니다. 질병관리청 OOO이었어요.
,
문의하상이 있어서 연락드렸습니다. 검사자 는 몇 명으로 파악되나요?,오늘은 79명 으로 나타나고 있어요.
,
코로나감염은 어떤 경로로 됩니까?,대인접촉로 감염이 시작되요.
,
"그렇게 전파 된다면, 감염을 차단할 방법은 어떤 것이 있습니까?",다수가 모이는 장소는 피하시나요?
,
"예, 그러고 있어요.",지금처럼만 하신다면 문제 없습니다.
,
115번사망자의 성함이 어떻게 되요?,개인정보는 공개할 수가 없습니다.
,
왜인가요?,개인 보호때문입니다.
,
그게 문제인가요?,관련법으로 처벌 받으실 수 있어요.
,
안녕하세요백신은 언제 쯤 나옵니까?,무슨 감염병의 백신을 말씀하시는 건가요?
,
코로나19이요.,백신 개발은 정해진 날짜를 알 수 없습니다.
,
알겠습니다.,고맙습니다. 질병관리청 OOO이었어요.
,
안녕하세요. 질병관리청이죠? 확진자 는 몇 명인가요?,오늘 하루 79명 입니다.
,
코로나감염경로가 어떻게 되나요?,입 분비물로 감염이 전파되요.
,
"그렇게 된다면, 감염을 어떻게 막습니까?",밀집 지역에 잘 안가십니까?
,
"네, 그러고 있습니다.",위와 같은 사항을 하고 계신다면 괜찮습니다.
,
115번감염자의 존명이 어떻게 되나요?,개인정보는 공개할 수가 없습니다.
,
무슨 근거입니까?,개인정보 보호문제 때문 입니다.
,
그게 문제인가요?,예
,
안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신은 언제 나오나요?,어떤 감염병의 백신을 말씀하시는 겁니까?
,
코로나십구의 백신이요.,백신 개발은 날짜를 정할 수 없어요.
