,고객질문(요청),상담사답변
1858,코로나 끝이 안난건가요?,개인정보는 알려드릴 수 없습니다.
1859,그럼 저는 어떻게 해야 하지요?,개인정보 보호문제가 발생하기 때문입니다.
1860,"오 마이 갓, 이러한 지옥이 언제까지 이어 질 것 같나요?",법으로 처벌 당하실 수 있습니다.
1861,"그렇다면, 코로나 백신은 언제 쯤 구경할 수 있을까요?","아직, 정해진 기한이 없습니다."
1862,우리나라 방역만 잘하고 치료는 못하는 그런 나라였어요? 진짜에요?,끝으로 상담원 OOO이에요.
1863,질병관리청에 상담이 있어서 문의했습니다.,오늘 하루 79명 이에요.
1864,코로나 확진자가 근처에 있습니다. 어떻게 하면 좋죠?,콧물로 감염경로가 생겨나요.
1865,"공개되고, 인터넷에 올라가고 그런 것 아니지요?",지금처럼만 하신다면 괜찮습니다.
1866,"진짜 받아야 하나요? 막 아프고, 격리 되야 하고 한다면서요.",개인정보는 비공개입니다.
1867,이곳이 바로 코로나 상담해 주는 곳이라고 해서 찾아 왔습니다만?,개인정보 보호법 때문에 공개할 수 없습니다.
1868,코로나 확진자가 몇 명 정도 나왔는지 궁금하네요. 오늘 많이 나왔다고 알고 있거든요.,예 그렇습니다.
1869,그렇다면 다른 TV에서 제공하는 실시간 확진자 수는 뭐지요?,정해진 날짜는 없습니다.
1870,질병관리청에서 공식적으로 제공하는 정보가 없다. 그럼 사기 아닙니까?,끝으로 상담원 OOO이에요.
1871,그렇군요. 그럼 사망자 수도 아니겠네요?,오늘 하루 79명 으로 통계됩니다.
1872,저는 무슨 정보를 얻어야지 공식적이고 믿음직한 정보를 얻었다고 할 수 있나요?,채액이 감염경로 입니다.
1873,"아직 다른 문의를 더 하고 싶은데, 제 친구가 흡연자에요. 그런데 코로나를 항상 신경 쓰는데, 코로나 걸릴 확률이 높나요? 흡연자는?",지금처럼만 하신다면 되요.
1874,코로나 백신 나왔다고 사람들이 말하던데 사실인가요?,개인정보는 공개가 불가능 합니다.
1875,코로나 바이러스 걱정을 안해도 되는 거죠?,개인정보 보호법 때문입니다.
1876,무슨 말도 안되는 소리에요?,예
1877,코로나 끝이 안난건가요?,"아직, 정해진 것은 없어요."
1878,그럼 어떻게 해야 하나요?,이상 질병관리청 OOO이었어요.
1879,코로나 팬데믹은 언제 끝날 수 있을 까요? 궁금해요.,오늘은 79명 으로 통계되요.
1880,"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?",침이 감염의 경로입니다.
1881,맨날 정치권에서 싸우기만 하는게 나라인가요? 너무한거 아니에요? 백신도 못구하고,위와 같은 사항을 지키고 계신다면 괜찮습니다.
1882,질병관리청의 상담센터 맞나요?,개인정보는 공개가 불가능 합니다.
1883,기숙사에서 확진자가 나왔다는데 어떻게 해야하죠?,개인정보 보호법 문제가 발생하기 때문에요.
1884,막 개인정보 털리고 그런건 아니겠지요?,법으로 처벌 당하실 수 있어요.
1885,코로나 진단 검사를 받아보라구요? 아니에요 나는 멀쩡해요. 괜찮아 진 것 같기도 합니다.,백신 개발은 날짜를 정할 수 없어요.
1886,안녕하십니까. OO대학의 학생입니다. 궁금한 것이 있어서 연락했어요.,"좋은 시간 되셨기를 바라며, 질병관리청 상담원 OOO이에요."
1887,코로나 확진자 수가 몇 명 정도 되나요? 어딜 찾아봐도 안나와서 ,오늘은 79명 으로 통계되요.
1888,"아니 유튜브에 다 나오는데, 채널에 실시간으로 확진자 몇 명 나왔다. 금일은 몇 명 째다 그래요.",콧물로 감염이 전파되요.
1889,와 대중매체에서 사기를 치고 있네요?,지금처럼만 하신다면 되요.
1890,실시간으로 제공되는 것은 다 가짜라는 이야기군요.,개인정보는 비공개 사항입니다.
1891,그렇다면 반대로 당신이 신뢰된 정보를 얻을려면 어떻게 하겠습니까?,개인정보 보호문제가 발생하기 때문에요.
1892,조금 다른 질문 인데요. 흡연자가 코로나에 걸릴 확률이 높나요?,예
1893,코로나 백신이 나왔다는 것이 사실입니까?,"아직, 정해진 것은 없어요."
1894,그럼 코로나도 이제 끝인가요?,끝으로 질병관리청 OOO이었습니다.
1895,무슨 이야기 인가요? 논리적으로 이해가 안되는데요?,오늘은 79명 입니다.
1896,그럼 긴장의 끈은 놓지 말아야 한다? 이말씀을 하고 싶은 것 인가요?,대인접촉이 감염의 경로입니다.
1897,그럼 저는 어떻게 해야 하지요?,위와 같은 사항을 지키고 계신다면 괜찮습니다.
1898,코로나 팬데믹은 언제 끝날 수 있을 까요? 궁금해요.,개인정보는 공개할 수가 없습니다.
1899,그럼 질문을 바꿔보죠. 우리나라에 백신이 언제 들어올 것 같아요?,개인 보호때문입니다.
1900,"진짜, 우리나라 머하고 있죠? 백신이 나왔다는데 가져오지도 못하고 개발도 못하고 뭐하는 겁니까?",법으로 처벌 당하실 수 있어요.
1901,질병관리청의 상담센터 맞나요?,백신 개발은 정해진 날짜를 알 수 없습니다.
1902,제가 일하는 현장에서 코로나 확진자가 나왔다고 합니다. 어떻게 해야 할지를 몰라서 연락드렸습니다. 어떻게 하면 되나요?,"감사의 인사를 올리며, 질병관리청 OOO이었어요."
1903,이거 인터넷에 안나가는 것 맞지요?,금일 하루 79명 으로 나타나고 있습니다.
1904,정말 방문 해야 합니까?,비말로 감염경로가 생겨납니다.
1905,코로나 관련 문의로 전화드렸는데요.,지금처럼만 하신다면 괜찮아요.
1906,질병관리청에서 공식적으로 제공하는 코로나 확진자 수를 알고 싶습니다. ,개인정보는 비공개입니다.
1907,아프리카에 실시간 방송으로 오늘 몇 명 나오는지 알려주고 있어요. 그럼 그건 뭐죠?,개인정보 보호때문에 공개할 수 없어요.
1908,사기 정보라고 말씀하시는 겁니까?,법으로 처벌 받으실 수 있어요.
1909,놀랍군요. 그렇다면 실시간 환자 수랑 사망자 수도 같이 공개 하던데 그것도 가짜일 확률이 높겠네요?,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
1910,어는 어디서 정보를 얻어야지 신뢰된 데이터다 라고 할 수 있나요?,"예, 질병관리청 OOO이었습니다."
1911,그럼 다른 질문이 있는데요. 흡연자는 코로나에 잘 걸리나요?,금일 하루 79명 으로 확인되요.
1912,코로나 감염병에 대한 백신이 나왔다고 뉴스에 나오던데 사실인가요?,콧물이 감염의 경로입니다.
1913,이제 이 지긋지긋한 감염병과 안녕 할 수 있는 건가요?,지금처럼만 하신다면 괜찮습니다.
1914,무슨 말도 안되는 소리에요?,개인정보는 비공개입니다.
1915,그럼 긴장의 끈은 놓지 말아야 한다? 이말씀을 하고 싶은 것 인가요?,개인 보호때문에 그래요.
1916,무엇을 해야 하나요? 점점 희망이 사라져 같은데요?,관련법으로 처벌 받으실 수 있습니다.
1917,"좋아요. 좋아 그렇다 치고, 코로나는 언제 끝날 것 같습니까?","아직, 정해진 기한이 없어요."
1918,"그렇다면, 코로나 백신은 언제 쯤 구경할 수 있을까요?","네, 질병관리청 OOO이었어요."
1919,한국은 머해요?,오늘은 79명 이에요.
1920,질병관리청의 상담센터 맞나요?,침로 감염경로가 생겨나요.
1921,코로나 확진자가 근처에 있습니다. 어떻게 하면 좋죠?,지금처럼만 하신다면 됩니다.
1922,제가 안전하기 위해서는 꼭 말씀드려야 겠는 것이겠지요?,개인정보는 비공개입니다.
1923,진짜 가야되요? 가면 돈 내야 한다면서요. 아직 괜찮은 것 같기도 한데요.,개인정보 보호법 때문에요.
1924,안녕하십니까. OO대학의 학생입니다. 궁금한 것이 있어서 연락했어요.,법으로 처벌 받으실 수 있습니다.
1925,코로나 확진자 수를 알고 싶어서 전화드렸는데요?,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
1926,인터넷에 보면 나오던데요. 사이트에서 제공하고 있던데요.,"감사의 인사를 올리며, 질병관리청 상담원 OOO이었습니다."
1927,그럼 그것들이 모두 사기에요?,오늘은 79명 으로 통계되요.
1928,"실시간이 모두 거짓 이였다니. 완치자, 환자, 모두 거짓이겠네요?",비말 또는 채액로 감염경로가 생겨납니다.
1929,믿기 어려운 세상이네요. 그럼 저는 어떤 정보를 믿어야 되죠?,지금처럼만 하신다면 됩니다.
1930,그럼 다른 질문이 있는데요. 흡연자는 코로나에 잘 걸리나요?,개인정보는 알려드릴 수가 없습니다.
1931,코로나 백신이 나왔다는 것이 사실입니까?,개인정보 보호법 문제가 발생하기 때문에요.
1932,이제 이 지긋지긋한 감염병과 안녕 할 수 있는 건가요?,예
1933,왜 그런거죠?,백신 개발은 날짜를 정할 수 없어요.
1934,코로나 시국은 계속 된다는 말씀이시군요.,"네, 질병관리청 OOO이었어요."
1935,무엇을 해야 하나요? 점점 희망이 사라져 같은데요?,오늘은 79명 으로 통계되요.
1936,"수용하지요, 다 수용하는데 그럼 물어보죠. 언제 끝나요?",대인접촉이 감염의 경로입니다.
1937,"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?",위와 같은 사항을 지키고 계신다면 괜찮아요.
1938,그럼 우리나라는 뭐하고 있어요?,개인정보는 비공개입니다.
1939,상담이 필요한데요. 이상하다 생각마시고요. 질병관리청이 맞죠?,개인정보 보호법 때문에 공개할 수 없어요.
1940,저희 회사에서 코로나 확진자가 나왔는데요. 어떻게 해야 하나요?,법으로 처벌 받으실 수 있어요.
1941,막 개인정보 털리고 그런건 아니겠지요?,백신 개발은 날짜를 정할 수 없어요.
1942,꼭 해야 하나요? 솔직히 이것 때문에 연락드렸는데. 안받고 싶어서요.,고맙습니다. 질병관리청 상담원 OOO이에요.
1943,여기가 코로나 상담 해주는 곳이 맞나요?,금일 하루 79명 으로 나타나고 있습니다.
1944,질병관리청에서 공식적으로 제공하는 코로나 확진자 수를 알고 싶습니다. ,침로 감염이 전파되요.
1945,어떤 싸이트 들어가면 금일 신규 확진자 수 나오고 하는데 그건 뭡니까?,지금처럼만 하신다면 되요.
1946,와 대중매체에서 사기를 치고 있네요?,개인정보는 비공개 사항입니다.
1947,실시간으로 제공되는 것은 다 가짜라는 이야기군요.,개인정보 보호때문에 그래요.
1948,그럼 저는 어떤 정보를 믿어야 하는 것이죠?,예 그렇습니다.
1949,조금 뜬금 없는 질문일 건데요. 담배 피는 사람은 코로나에 잘걸려요? ,"아직, 정해진 것은 없어요."
1950,사람들이 코로나 백신 나왔다고 코로나 종식됬다고 하던데 맞나요?,"네, 질병관리청 OOO이었습니다."
1951,드디어 코로나 바이러스 시대가 종식 된건가요?,금일 하루 79명 이에요.
1952,왜요?,입 분비물이 감염경로 입니다.
1953,계속 코로나랑 같이 살아야 한다고요?,위와 같은 사항을 지키고 계신다면 괜찮아요.
1954,무엇을 해야 하나요? 점점 희망이 사라져 같은데요?,개인정보는 알려드릴 수가 없습니다.
1955,좋아요. 그럼 코로나는 언제 끝날 것 같나요?,개인정보 보호법 문제 때문에요.
1956,"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?",예 그렇습니다.
1957,맨날 정치권에서 싸우기만 하는게 나라인가요? 너무한거 아니에요? 백신도 못구하고,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
1958,질병관리청에 연락드리는데요. 상담센터니까 물어봐도 되죠?,"예, 질병관리청 OOO이었습니다."
1959,코로나 확진자가 근처에 있습니다. 어떻게 하면 좋죠?,금일 하루 79명 으로 확인되요.
1960,"알고 봤더니, 기사에 나오고, OO모씨라고 하는데 특정 인물 식별할 수 있고 그런건 아닌 것 맞습니까?",비말로 감염이 전파되요.
1961,코로나 진단 검사를 받아보라구요? 아니에요 나는 멀쩡해요. 괜찮아 진 것 같기도 합니다.,지금처럼만 하신다면 괜찮아요.
1962,"제가 코로나 관련해서 궁금한 사항들이 있는데, 여기 전화하면 되는 것이 맞나요?",개인정보는 알려드릴 수가 없습니다.
1963,금일 코로나 확진자 수가 엄청나게 많다고 알고 있습니다. 확진자 수가 궁금해서 연락드렸어요. ,개인정보 보호법 문제가 발생하기 때문입니다.
1964,인터넷에서 실시간 확진자 수를 제공하고 있던데 이건 뭐죠?,법으로 처벌 받으실 수 있습니다.
1965,그럼 그것들이 모두 사기에요?,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없어요.
