q,a
심박수 감소면 심장이 문제가 되나요?,심박수 감소로 휴유증이 발생할 수 있어요
후유증이라면 어떤거죠?,환자별로 차이가 있는데요.
부작용이 다양하네요.,네 발진이 생기는 경우도 있어요.
부작용이 있는 그약을 왜 치료약으로 쓰지요?,치료가 가능한 약물을 투여하는겁니다
마스크 벌금 질 질문좀 드리려는데 여기에 문의하면 되나요?,네 말씀해주세요.
마스크를 미착용하면 벌금이 부여될 수 있다고 하던데요?,네 10월 13일부터 마스크 미착용 시 벌금이 부여될 수 있습니다.
아무 마스크나 착용해도 괜찮은 건가요?,"식품의약품안전처에서 의양외품으로 허가한 보건용, 수술용, 비말차단용 마스크 착용을 권고하고 있습니다."
그 외는 착용하면 안되나요?,불가피한 경우 입과 코를 가릴 수 있는 천마스크나 일회용마스크를 사용하셔도 되긴 하십니다.
아 그럼 그냥 마스크를 쓰고 있으면 되긴 하겠네요.,네 하지만 착용을 제대로 하셔야 합니다.
어떻게 착용해야 하는데요?,입과 코를 완전히 가리지 않으면 과태료가 부과될 수 있습니다.
왜 그러는거죠?,입과 코를 완전히 가리지 않으면 비말 차단효과가 명확하게 입증되지 않기 때문입니다.
마스크 중에서 그럼 쓰면 안되는 종류도 있나요?,그럼요. 위에 설명드린 마스크 외에 다른 마스크들에 대해서는 착용해도 효과가 미비하거나 없을 수 있습니다.
그 종류를 알 수 있을까요?,망사형마스크나 밸브형 마스크는 인정되지 않습니다.
아하 네네 그럼 저는 의료용 마스크를 써야겠네요.,네 그렇게해주세요. 감사합니다.
마스크 미착용 벌금 문의 드릴게요.,네 말씀해주시겠어요?
마스크를 미착용하면 벌금을 내는건가요?,네 이번에 시행되었습니다.
언제부터 시행됐어요?,10월 13일부터 시행되었습니다.
헐 그런것도 몰랐네요.,지금부터라도 마스크를 꼭 착용하셔서 불이익이 없도록 해주시길 바랍니다.
마스크는 아무거나 써도 되는거에요?,권장드리는 종류의 마스크들이 따로 있습니다.
어떤 종류가 있는데요?,"비말차단마스크, 의료용마스크를 권장드리고, 불가피한경우 면마스크 착용도 가능합니다."
아 그럼 안되는 마스크도 있어요?,네. 망사형마스크는 착용하시면 안됩니다.
망사형마스크는 왜 안되는거에요?,차단효과가 명확히 입증되지 않은 마스크입니다.
아.. 그럼 망사형마스크만 피하면 되겠네요?,숨을 내뱉을 때 감염원이 배출될 우려가 있는 밸브형 마스크도 인정되지 않습니다.
아 그럼 저는 의료용마스크로 착용해야겠어요.,네 마스크를 잘 착용하시길 바랍니다.
마스크를 안차면 벌금을 내야된다는게 사실인가요?,마스크 미착용 시 부과되는 과태료 말씀이신가요?
네 어제 처음들었거든요,네 사실입니다. 10월 13일부터 시행된 제도로 마스크 미착용시 과태료과 부과될 수 있습니다.
뭐 어디에서 안차면 벌금인가요?,간단하게 말씀드리면 실내에서는 의무착용이시고 실외라 하더라도 사람들이 많이 모이는 곳에서는 마스크를 꼭 착용하셔야 합니다.
그럼 아이들이 유치원에서 마스크 막 벗고 싶어하고 하는데 그런 경우에도 벌금이 부여되나요?,아니요 마스크 착용이 어려운 경우에는 면제됩니다.
면제되는 경우는 어떤게 있나요?,"일단 만 14세 미만인 경우 면제대상이고, 다른 사람의 도움없이 마스크 착용이 어려운 발달장애인, 마스크 착용시 호흡이 어렵다는 의학적 소견을 가진 사람도 과태로 면제 대상입니다."
그런 사람들을 제외하면 다 벌금인가요?,"일반인이더라도 음식섭취, 수술등 의료행위를 할때나 수영장, 목욕탕등 물속에 있을 경우, 수어통역, 사진촬영등 얼굴이 보여야 하는 상황에서도 과태료 처분을 받지 않습니다."
아 아이가 마스크를 쓰기 싫어해서 걱정했는데 그래도 다행이네요.,네 그래도 코로나 감염 예방을 위해 마스크는 꼭 착용할 수 있도록 교육해주세요.
네네 당연히 그렇게 해야죠.,다른 문의사항도 있으신가요?
아니요 충분히 답변이 되었습니다.,네 감사합니다.
마스크 안쓰면 벌금이라던데 진짜인가요?,네 마스크 미착용시 벌금이 부과될 수 있습니다.
언제부터 시행된 제도죠?,10월 13일부터 시행된 제도입니다.
그럼 이제부터 안쓰면 무조건 벌금인거에요?,11월 13일까지 한달간은 계도기간으로 유예될 수 있습니다.
아 시행하고 한달간의 시간이 있는거네요.,네 맞습니다 바로 시행하면 혼란이 있기 때문인 것으로 보여집니다.
벌금은 얼마인가요?,벌금은 지자체에 따라 다른데요. 10만원인 곳도 있고 300만원인 지역도 있습니다.
그럼 미리 알아봐야겠네요.. ,어디 지역에 사시나요?
저 광주요.,광주의 경우 300만원의 벌금이 부과될 수 있습니다.
마스크를 무조건 착용해야겠네요..,다른 문의사항도 있으세요?
그냥 일회용 마스크 착용해도 괜찮은거죠?,식약처의 인증을 받지 못한 일회용 마스크의 경우 비말차단 효과가 없기 때문에 가급적 식약처 인증을 받은 마스크 착용을 권장드립니다.
아.. 일단 마스크 좀 알아보고 주문해야겠네요.,네 비말차단이 확실한 마스크로 구매하시길 바랍니다.
마스크종류 문의 좀 드릴게요.,네 마스크 어떤 부분이 궁금하신거에요?
제가 지금 일회용 마스크를 쓰고 있거든요? 일회용마스크 써도 되는거 맞나요?,일회용 마스크에도 종류가 많아서요.
네 그런건 아닌거 같고 그냥 일회용 마스크에요.,"수술용, 의료용, 비말차단용 마스크가 코로나 바이러스 감염 예방에 효과가 있는 것으로 알려져 있습니다. 사용하시는 마스크가 식약처 인증을 받은 마스크인지가 중요합니다."
아 그런거 아닌것같은데.. 중국산으로 그냥 싸서 샀거든요.,그럼 다른 마스크를 착용하시는게 좋을 것 같습니다.
일회용 마스크를 제외하고 아무거나 사도 되는거에요?,망사형 마스크나 밸브형 마스크도 피해주세요.
그것들도 비말차단에 효과가 없나보죠?,네 검증되지 않은 마스크이고 날숨 시 바이러스가 퍼질 수 있는 위험이 있는 마스크들입니다.
어떤 분들은 스카프로 가리고 다니던데 그것도 괜찮은거에요?,아닙니다. 스카프등 옷가지로 얼굴을 가리는 것은 마스크 미착용으로 볼 수 있습니다.
아 궁금해서 한 번 물어봤어요.,네네 식약처 인증을 받은 마스크로 구매하셔서 코로나 예방하시길바랍니다.
마스크 안쓴 사람 신고할 수 있어요?,안녕하세요. 마스크 미착용하신 분 신고 문의주신건가요?
네 맞아요 저는 힘들게 쓰고 다니는데안쓰고 다니는 사람들 보면 화딱지가 나네요.,10월 13일부터 마스크 미착용 시 최고 10만원의 과태로를 부과할 수 있습니다.
저도 그건 알고 있는데 신고도 가능한가 해서요.,혹시 거주하시는 지역이 어디이신가요?
저 경기도에 살고 있어요.,경기도에서는 콜센터 120에서 신고를 받고 있습니다.
지역에 따라 다른가보죠?,"네 지역에 따라 벌금, 과태료 처벌 등의 내용이 조금씩 상이합니다."
그럼 서울은 신고가 어려운가요? 제가 경기도에 사는데 회사는 서울이거든요?,서울시의 경우 계도기간동안에는 신고에 대한 내용을 검토하지 않겠다고 했지만 이후에 생길 수 있습니다.
신고 말고는 어떻게 단속되나요?,"일반신고 외에 현장단속, 경찰과 공동단속도 진행합니다."
아 좀 다같이 잘 쓰고 다니면 좋은데 왜 꼭 몇몇은 안쓰고 다니는지..,그러게요.. 같이 조심하면 좋을텐데요.
마스크 미착용 과태료부과에 대해서 계도기간이 있다던데 그건 언제까지인가요?,한 달뒤인 11월 13일까지입니다.
네 답변감사합니다.,별말씀을요 감사합니다.
마스크 미착용 신고는 어디에 해야되나요?,마스크 미착용 신고 말씀이신가요?
네 맞아요 마스크 안쓰는사람들 신고하고 싶어서요.,안전신문고 앱에서 신고 가능하십니다.
마스크 미착용 신고만 할 수 있는거에요?,코로나19 감염확산을 일으킬 수 있는 행위에 대해 신고 가능하십니다.
그런게 뭐가 있죠?,"집합금지 조치를 한 시설에서 영업이나 모임을 하거나, 자가격리를 무단이탈하거나 등이 있습니다."
위반했다는걸 어떻게 증명해요?,위반행위자의 위반 당시 사진과 위반장소를 확인할 수 있는 사진을 첨부해야합니다.
위치정보는 어떻게 알죠?,위치를 지정할 수 있는데 현재위치나 위반장소를 선택하여 등록합니다.
그리고 또 어떻게 해야하죠?,"신고내용에 위반시설 종류나 상황, 내용등에 대한 구체적인 내용을 입력하고, 제출하면 됩니다."
그 이후 진행사항은 무엇인가요?,관리기관 담당자가 사실확인을 하고 조치됩니다.
진행상황을 제가 알 수 있어요?,"조치결과는 신고인에게 스마트폰 알림, 카카오톡 알림, 문자 등으로 통보됩니다."
아 그럼 좀 코로나 예방수칙 안지키는 사람들 신고좀해야겠어요. 감사합니다.,네 감사합니다.
코로나 관련해서 마스크 질문 좀 할게요.,네 어떤 질문이신가요?
마스크 착용 방법이 따로 있나요?,어떤 마스크 말씀이신가요?
비밀차단용 마스크요,비말차단용 마스크는 윗쪽에 철사가 있습니다. 그 철사부분을 코와 맞닿게 밀착시켜야 합니다.
왜 그렇게 하는거에요?,마스크와 얼굴 사이에 공간이 있으면 그 사이로 비말이 들어올 수 있기 때문에 최대한 얼굴에 밀착해서 사용하시는게 좋습니다.
그럼 얼굴이 작은 아기들 마스크는 따로 파는건가요?,따로 구분되진 않지만 작은 사이즈의 마스크를 사셔서 얼굴에 맞도록 마스크 줄로 사이즈를 줄여서 사용하셔야 합니다.
따로 없으면 아이들한테 맞도록 잘 조여서 사용해야겠네요..,네 그렇습니다. 다른 문의사항도 있으신가요?
네 마스크 보관방법도 따로 있나요?,마스크는 걸어서 보관하는 것이 가장 좋습니다.
아 그럼 집에 마스크를 걸 수 있는 고리도 준비하는게 좋겠네요.,네 접어서 보관하시거나 아무데나 두면 바이러스 감염위험이 있기 때문에 걸어두시는게 좋습니다.
네네 답변주셔서 너무 감사드립니다.,별말씀을요. 감사합니다.
마스크 문의 좀 드려도 될까요?,네 어떤부분이 궁금하십니까?
마스크를 쓰면 그 앞쪽 면을 만지면 안된다는데 맞나요?,네 마스크 앞쪽면은 만지지 않는 것이 좋습니다.
왜 그런거에요?,마스크 앞쪽면에는 다른 사람들의 비말이나 바이러스가 묻어있을 수 있기 때문에 만지지 않는게 좋습니다.
아 그럼 마스크를 벗거나 할땐 어떻게 하죠?,귀쪽에 있는 고리를 잡고 벗는것이 가장 좋습니다.
벗은 마스크는 바로 버려야겠네요?,네 최대한 바깥쪽을 만지지 않고 버리시는게 좋습니다.
마스크는 아무 종류나 써도 상관 없나요?,마스크는 식약처의 인증을 받은 마스크를 착용하셔야 비말차단 효과를 얻을 수 있습니다.
그런걸 어떻게 알고 사죠?,식약처 홈페이지에 인증 마스크 목록이 기재되어 있습니다.
아 그럼 거기에서 확인하고 사는게 가장 정확하겠네요?,네 맞습니다.
마스크를 쓰고 안쓰고가 코로나에 엄청 큰 영향을 미치는건가요?,그럼요 마스크 착용 유무가 가장 큰 영향을 끼친다고 보여집니다.
음.. 어쨌든 마스크를 잘 착용해야겠네요. 알겠습니다.,네 감사합니다.
